"","age","covdeaths","alldeaths","pop","reldead","relcovdead"
"<1 year",0,44,19057,3745000,0.00508865153538051,1.17489986648865e-05
"01 Years",1,11,1326,3788000,0.000350052798310454,2.9039070749736e-06
"02 Years",2,4,884,3885000,0.000227541827541828,1.02960102960103e-06
"03 Years",3,4,715,3978000,0.000179738562091503,1.00553041729512e-06
"04 Years",4,4,543,4062000,0.000133677991137371,9.84736582964057e-07
"05 Years",5,7,512,4090000,0.00012518337408313,1.71149144254279e-06
"06 Years",6,4,449,4061000,0.000110563900517114,9.8497906919478e-07
"07 Years",7,6,438,4066000,0.000107722577471717,1.4756517461879e-06
"08 Years",8,4,400,4086000,9.78952520802741e-05,9.78952520802741e-07
"09 Years",9,6,397,4127000,9.61957838623698e-05,1.45384056215168e-06
"10 Years",10,3,454,4227000,0.000107404778802934,7.097232079489e-07
"11 Years",11,8,521,4337000,0.000120129121512566,1.84459303666129e-06
"12 Years",12,12,613,4469000,0.000137167151488029,2.68516446632356e-06
"13 Years",13,9,804,4447000,0.000180796042275691,2.02383629413087e-06
"14 Years",14,8,1028,4347000,0.000236484932137106,1.84034966643662e-06
"15 Years",15,16,1334,4310000,0.000309512761020882,3.7122969837587e-06
"16 Years",16,13,1797,4347000,0.000413388543823326,2.99056820795951e-06
"17 Years",17,23,2236,4288000,0.000521455223880597,5.36380597014925e-06
"18 Years",18,38,3177,4308000,0.000737465181058496,8.82079851439183e-06
"19 Years",19,60,3813,4375000,0.000871542857142857,1.37142857142857e-05
"20 Years",20,61,4019,4331000,0.000927961209882244,1.40845070422535e-05
"21 Years",21,77,4632,4298000,0.00107771056305258,1.79153094462541e-05
"22 Years",22,97,4726,4273000,0.00110601450971215,2.27006786800842e-05
"23 Years",23,102,5105,4292000,0.00118942218080149,2.37651444547996e-05
"24 Years",24,115,5335,4343000,0.00122841353902832,2.6479392125259e-05
"25 Years",25,133,5789,4411000,0.00131240081614146,3.01518929947858e-05
"26 Years",26,151,6056,4506000,0.00134398579671549,3.35108743897026e-05
"27 Years",27,198,6589,4595000,0.00143394994559304,4.30903155603917e-05
"28 Years",28,198,7056,4689000,0.00150479846449136,4.22264875239923e-05
"29 Years",29,252,7582,4763000,0.00159185387360907,5.29078311988243e-05
"30 Years",30,289,8012,4728000,0.00169458544839256,6.11252115059222e-05
"31 Years",31,329,8068,4617000,0.00174745505739658,7.12583928958198e-05
"32 Years",32,337,8178,4540000,0.00180132158590308,7.42290748898678e-05
"33 Years",33,377,8512,4497000,0.00189281743384479,8.38336668890371e-05
"34 Years",34,416,8674,4520000,0.00191902654867257,9.20353982300885e-05
"35 Years",35,437,8972,4479000,0.00200312569770038,9.75664210761331e-05
"36 Years",36,461,9239,4435000,0.00208320180383315,0.000103945885005637
"37 Years",37,528,9950,4497000,0.00221258616855682,0.000117411607738492
"38 Years",38,617,10040,4452000,0.00225516621743037,0.00013858939802336
"39 Years",39,648,10777,4429000,0.00243328065025965,0.000146308421765636
"40 Years",40,678,11136,4350000,0.00256,0.000155862068965517
"41 Years",41,864,11284,4190000,0.00269307875894988,0.000206205250596659
"42 Years",42,844,11215,4131000,0.00271483902202856,0.000204308884047446
"43 Years",43,938,11809,4024000,0.0029346421471173,0.000233101391650099
"44 Years",44,1041,12075,3948000,0.00305851063829787,0.000263677811550152
"45 Years",45,1212,13026,3967000,0.00328358961431812,0.00030552054449206
"46 Years",46,1262,13666,3901000,0.00350320430658805,0.000323506793129967
"47 Years",47,1452,15117,3990000,0.00378872180451128,0.00036390977443609
"48 Years",48,1673,17045,4205000,0.00405350772889417,0.000397859690844233
"49 Years",49,1910,19316,4447000,0.00434360242860355,0.000429503035754441
"50 Years",50,2104,20701,4294000,0.00482091290172334,0.000489986027014439
"51 Years",51,2182,21528,4162000,0.00517251321480058,0.00052426717924075
"52 Years",52,2345,23003,4071000,0.00565045443380005,0.00057602554654876
"53 Years",53,2489,24846,4124000,0.00602473326867119,0.000603540252182347
"54 Years",54,2805,27678,4195000,0.00659785458879619,0.00066865315852205
"55 Years",55,3096,31357,4377000,0.00716403929632168,0.000707333790267306
"56 Years",56,3561,34799,4447000,0.0078252754666067,0.000800764560377783
"57 Years",57,3762,37561,4443000,0.00845397254107585,0.000846725185685348
