"ym","anomaly"
191001,-0.46
191002,-0.56
191003,-1.2
191004,0.07
191005,0.21
191006,0.57
191007,-0.34
191008,0.55
191009,1.05
191010,-1.74
191011,-0.92
191012,-1.74
191101,-1.7
191102,-2.82
191103,-1.8
191104,-1.92
191105,-0.52
191106,-2
191107,-0.43
191108,0.31
191109,0.65
191110,-0.27
191111,1.78
191112,-0.46
191201,0.02
191202,1.8
191203,0.58
191204,-1.32
191205,-1.09
191206,-0.21
191207,-0.61
191208,0.26
191209,-0.63
191210,-0.19
191211,0.15
191212,0.11
191301,-0.15
191302,-0.05
191303,-1.89
191304,0.09
191305,-2.14
191306,-1.72
191307,-0.2
191308,-0.74
191309,-0.79
191310,1.21
191311,-0.89
191312,1.45
191401,0.8
191402,1.4
191403,0.4
191404,0.3
191405,-0.15
191406,0.03
191407,-0.88
191408,0.98
191409,0.48
191410,2.09
191411,4.29
191412,1.83
191501,-0.55
191502,2.03
191503,0.88
191504,-0.02
191505,-1.44
191506,0.2
191507,1.05
191508,-0.3
191509,1.33
191510,-0.57
191511,0.11
191512,-0.3
191601,0.99
191602,0.71
191603,0.02
191604,-1.35
191605,-0.03
191606,0.04
191607,-0.11
191608,-0.77
191609,0.54
191610,-1.5
191611,-3.26
191612,-1.51
191701,-0.36
191702,-3.19
191703,-1.21
191704,-2.41
191705,-1.94
191706,-0.96
191707,-0.01
191708,-0.54
191709,-0.2
191710,-0.46
191711,-1.79
191712,-0.13
191801,-1.28
191802,-1.06
191803,-1.26
191804,-0.84
191805,-0.38
191806,-0.39
191807,-1.41
191808,0.36
191809,-0.01
191810,-0.36
191811,0.6
191812,0.62
191901,1
191902,0.77
191903,-1.18
191904,0.96
191905,0.56
191906,0.33
191907,-0.99
191908,-0.57
191909,1.24
191910,0.91
191911,2.76
191912,2.01
192001,-0.72
192002,0.14
192003,-1.48
192004,-0.73
192005,-1.41
192006,0.23
192007,0.09
192008,-1.15
192009,-0.57
192010,0.11
192011,1
192012,-0.28
192101,-0.12
192102,0.13
192103,-1.09
192104,-0.23
192105,1.28
192106,1.07
192107,1.5
192108,-1.35
192109,0.71
192110,-1.42
192111,1.68
192112,-0.51
192201,-1.59
192202,0.12
192203,-0.69
192204,1.54
192205,-0.31
192206,-0.37
192207,-0.43
192208,-1.13
192209,0
192210,0.54
192211,1.13
192212,0.25
192301,-0.39
192302,1.46
192303,0.91
192304,1.03
192305,1.02
192306,0.26
192307,-0.18
192308,-0.94
192309,-0.37
192310,-0.67
192311,-1.95
192312,1.09
192401,-1.83
192402,-1.99
192403,-1.02
192404,-3.03
192405,-1.11
192406,-1.13
192407,0.08
192408,0.03
192409,0.17
192410,-0.74
192411,-1
192412,-2.5
192501,-2.03
192502,-0.81
192503,-1
192504,-0.03
192505,-0.41
192506,0.17
192507,-1.13
192508,-1.09
192509,-2.21
192510,-0.47
192511,0.27
192512,0.19
192601,-1.43
192602,1.98
192603,0.91
192604,-0.09
192605,-1.77
192606,-0.39
192607,0.66
192608,0.41
192609,0.33
192610,0.23
192611,0.31
192612,-1.09
192701,-0.06
192702,-0.99
192703,-0.51
192704,-1.36
192705,-1.82
192706,-0.83
192707,-0.76
192708,-1.01
192709,-0.05
192710,0.44
192711,1.38
192712,-1.38
192801,-1.42
192802,-0.56
192803,0.31
192804,0.34
192805,-1.47
192806,-0.91
192807,0.05
192808,1.52
192809,2.03
192810,-0.21
192811,0.6
192812,0.8
192901,0.93
192902,0.74
192903,-0.33
192904,-1.93
192905,-1.25
192906,-1.04
192907,-1.93
192908,-0.28
192909,-0.57
192910,-0.25
192911,-0.66
192912,-1.38
